,Country,Year,Production,Consumption
516,Pakistan,2001,11.88,9.595272593665113
517,Pakistan,2002,11.99,9.698236986228537
518,Pakistan,2003,12.1,9.778642505106736
519,Pakistan,2004,12.19,9.804217586193843
520,Pakistan,2005,12.25,9.844781613911325
521,Pakistan,2006,13.9,10.957923310128605
522,Pakistan,2007,14.21,11.167466297781015
523,Pakistan,2008,14.5,11.382185434702713
524,Pakistan,2009,14.8,11.65763058925068
525,Pakistan,2010,15.13,11.895280173498712
526,Pakistan,2011,15.52,12.185894715628214
527,Pakistan,2012,15.92,12.496600444495185
528,Pakistan,2013,16.409999999999997,12.795000626129156
529,Paraguay,1991,73.1,54.804089374103754
530,Paraguay,1992,78.44000000000003,58.478503138013885
531,Paraguay,1993,75.32000000000002,56.399304255928215
532,Paraguay,1994,77.14,56.9441995863451
533,Paraguay,1995,79.01,58.13247634351005
534,Paraguay,1996,74.19999999999997,53.86095193904765
535,Paraguay,1997,77.01,53.377774654391814
536,Paraguay,1998,75.24,52.199610556244345
537,Paraguay,1999,76.3,56.086853163814176
538,Paraguay,2000,70.39,48.02459124596896
539,Paraguay,2001,65.47999999999999,46.224727787919676
540,Paraguay,2002,73.21000000000002,46.58162403945823
541,Paraguay,2003,62.13,50.58889612068585
542,Paraguay,2004,51.98,40.73116937307808
543,Paraguay,2005,46.42,36.155701302319
544,Paraguay,2006,48.44,49.18066226966747
545,Paraguay,2007,43.27,47.94708824436489
546,Paraguay,2008,41.95,52.9011265375224
547,Paraguay,2009,40.97,55.601883205365716
548,Paraguay,2010,43.48,51.81742470367347
549,Paraguay,2011,50.1,48.969137685580655
550,Paraguay,2012,52.7,52.37053154333797
551,Paraguay,2013,53.61,50.4727291496709
552,Peru,1991,16.880000000000006,19.02784752411354
553,Peru,1992,17.240000000000002,19.668330030355733
554,Peru,1993,16.5,18.60834653915461
555,Peru,1994,17.42,18.66773697509165
556,Peru,1995,18.72,19.994375749830716
557,Peru,1996,18.83,21.10708692087252
558,Peru,1997,19.53,23.0011910223418
559,Peru,1998,15.85,23.3978604541158
560,Peru,1999,16.52,24.537875616654855
561,Peru,2000,16.47,26.145596661068808
562,Peru,2001,16.39,27.0580046120993
563,Peru,2002,16.91,28.15785299002382
564,Peru,2003,17.27,26.890897306158518
565,Peru,2004,17.39,26.969342420156913
566,Peru,2005,18.61,29.451210612229282
567,Peru,2006,19.62,31.217933764484783
568,Peru,2007,20.54,32.98581227642252
569,Peru,2008,20.58,35.77327740158265
570,Peru,2009,20.630000000000006,38.1455342402271
571,Peru,2010,21.200000000000006,39.816651936906744
572,Peru,2011,21.23,41.25082451581638
573,Peru,2012,21.910000000000004,43.765710604245434
574,Peru,2013,22.520000000000003,44.5529038332811
575,Philippines,1991,20.66,14.487810884406441
576,Philippines,1992,20.64,14.017446514922652
577,Philippines,1993,21.77,15.423010594111915
578,Philippines,1994,22.53,15.822361416955106
579,Philippines,1995,23.59,16.889639985044898
580,Philippines,1996,25.340000000000003,19.97301692755245
581,Philippines,1997,26.72,21.044431605665764
582,Philippines,1998,26.6,21.078214102158643
583,Philippines,1999,28.22,22.279804360555733
584,Philippines,2000,28.77,22.77850312290483
585,Philippines,2001,29.33,23.18335110032669
586,Philippines,2002,30.31,23.950241086776227
587,Philippines,2003,30.68,23.94960307565001
588,Philippines,2004,30.27,23.877654151336518
589,Philippines,2005,29.68,23.63510122952533
590,Philippines,2006,31.16,24.84836099729541
591,Philippines,2007,33.05,26.329978887323836
592,Philippines,2008,33.62,26.76696665408593
593,Philippines,2009,33.45,26.772912122710704
594,Philippines,2010,34.47,27.720878041335432
595,Philippines,2011,34.480000000000004,28.10270300185515
596,Philippines,2012,34.78,27.607935734927803
597,Philippines,2013,35.099999999999994,28.36683759057949
598,Saudi Arabia,1991,45.6,36.512707109770155
599,Saudi Arabia,1992,41.7,33.44682848544732
600,Saudi Arabia,1993,37.21,31.75158048190772
